bike_type,frame_material,production_cost,assembly_time,top_speed,battery_type,motor_power,customer_score
road,aluminum,245.62,70.95,22.81,lead acid,234W,5.07
standard,aluminum,652.33,85.61,27.51,lead acid,301W,6.56
road,aluminum,309.25,55.45,24.73,nimh,286W,8.24
road,carbon fiber,776.59,44.25,33.22,nimh,309W,5.77
mountain,aluminum,248.92,59.03,19.7,li-ion,233W,2.47
mountain,carbon fiber,237.82,23.92,17.47,lead acid,263W,5.04
standard,carbon fiber,770.89,27.57,,lead acid,248W,5.52
standard,aluminum,746.57,104.85,25.52,li-ion,241W,8.29
standard,aluminum,290.95,45.59,31.08,nimh,221W,5.96
mountain,aluminum,778.09,35.8,29.38,li-ion,203W,7.82
standard,carbon fiber,769.98,51.97,19.91,li-ion,208W,9.52
standard,aluminum,530.77,81.86,19.34,lead acid,235W,5.91
road,steel,401.4,68.7,28.27,li-ion,280W,8.87
road,steel,552.68,76.52,29.01,lead acid,291W,8.07
road,steel,587.79,71.83,18.84,li-ion,311W,6.37
standard,carbon fiber,246.52,77.88,22.1,nimh,330W,4.74
road,carbon fiber,780.49,80.28,19.61,nimh,273W,5.37
standard,steel,367.18,40.9,21.93,-,286W,6.68
mountain,aluminum,527.16,57.01,24.31,nimh,257W,6.25
standard,aluminum,322.46,63.15,21.47,li-ion,358W,5.2
road,aluminum,256.43,46.3,19.35,nimh,213W,6.71
standard,carbon fiber,245.02,36.37,24.6,li-ion,241W,5.46
folding,aluminum,581.79,47.11,19.0,lead acid,246W,8.2
road,carbon fiber,361.48,80.93,27.42,lead acid,222W,7.59
standard,carbon fiber,544.57,82.58,29.3,li-ion,348W,7.78
folding,steel,423.31,87.81,28.68,nimh,182W,6.56
road,carbon fiber,325.46,57.17,24.67,li-ion,329W,5.19
mountain,carbon fiber,333.27,51.96,23.34,lead acid,235W,6.58
road,aluminum,760.08,54.38,11.39,-,216W,8.21
standard,carbon fiber,322.16,88.72,22.15,nimh,313W,7.37
folding,carbon fiber,726.16,85.61,27.19,li-ion,270W,10.0
standard,aluminum,201.2,20.0,29.7,lead acid,225W,3.51
standard,steel,222.21,82.21,22.38,li-ion,352W,6.81
mountain,steel,583.59,57.02,26.18,li-ion,221W,5.5
road,steel,745.07,28.82,30.81,nimh,281W,7.24
folding,carbon fiber,226.71,65.54,16.8,nimh,309W,3.02
folding,steel,595.6,65.04,29.54,lead acid,203W,7.5
road,carbon fiber,704.55,55.59,26.34,li-ion,270W,7.22
folding,steel,234.52,69.94,20.71,nimh,192W,6.71
folding,steel,729.16,34.26,26.84,nimh,235W,7.13
mountain,steel,560.18,63.23,23.1,nimh,189W,6.39
standard,carbon fiber,225.21,63.01,24.43,nimh,227W,4.81
road,aluminum,644.52,52.1,16.16,lead acid,281W,6.52
standard,aluminum,763.08,45.94,25.43,li-ion,246W,9.04
folding,carbon fiber,275.64,20.0,30.08,lead acid,317W,6.63
road,steel,672.44,101.98,21.77,nimh,167W,8.52
mountain,carbon fiber,341.07,65.83,21.98,nimh,205W,5.14
mountain,carbon fiber,411.91,58.36,31.09,li-ion,256W,8.55
folding,aluminum,601.9,61.27,21.38,lead acid,217W,7.55
folding,steel,297.85,55.63,32.67,lead acid,261W,4.23
road,steel,443.72,78.12,25.26,lead acid,312W,5.17
road,aluminum,540.67,58.92,20.48,lead acid,307W,4.63
road,STEel,469.53,79.11,25.27,li-ion,205W,9.47
folding,steel,255.83,38.09,29.36,lead acid,243W,4.78
standard,steel,213.21,33.98,,-,324W,4.4
standard,aluminum,636.72,20.0,24.7,nimh,307W,4.89
standard,carbon fiber,576.99,62.22,29.71,lead acid,237W,4.88
folding,carbon fiber,683.84,73.6,,li-ion,178W,8.21
standard,carbon fiber,515.76,60.34,29.21,lead acid,239W,7.99
road,aluminum,312.86,70.34,31.01,lead acid,212W,4.11
folding,aluminum,655.03,83.82,22.3,nimh,206W,7.19
road,steel,310.16,53.18,25.72,lead acid,168W,2.6
folding,steel,793.4,90.16,25.82,lead acid,204W,8.05
folding,steel,438.62,61.56,24.91,nimh,263W,6.99
mountain,steel,454.53,74.19,18.67,lead acid,294W,8.27
folding,steel,427.81,62.1,21.17,lead acid,265W,8.39
mountain,steel,406.8,66.13,22.46,lead acid,277W,2.88
road,aluminum,555.68,49.28,27.82,nimh,269W,6.35
mountain,aluminum,208.1,44.38,20.18,lead acid,250W,5.72
mountain,carbon fiber,542.17,61.14,31.1,nimh,236W,5.8
mountain,aluminum,646.32,60.67,25.15,li-ion,287W,7.6
mountain,carbon fiber,477.64,69.37,20.1,nimh,263W,8.68
mountain,aluminum,495.95,28.09,31.88,li-ion,217W,6.8
mountain,steel,262.43,51.06,28.84,lead acid,298W,3.81
road,carbon fiber,696.15,45.62,29.05,nimh,212W,9.62
mountain,aluminum,509.45,70.86,28.13,lead acid,275W,5.74
standard,aluminum,494.75,56.99,26.3,li-ion,191W,6.24
standard,carbon fiber,312.26,46.02,28.66,nimh,282W,3.65
folding,aluminum,237.52,92.59,24.86,lead acid,225W,5.39
folding,aluminum,327.86,59.38,26.83,lead acid,214W,6.1
road,aluminum,315.86,53.21,28.58,lead acid,229W,2.96
road,carbon fiber,203.9,59.76,28.85,lead acid,253W,4.0
folding,carbon fiber,707.55,78.8,29.08,li-ion,268W,6.54
folding,STEel,294.25,59.08,22.36,li-ion,200W,5.18
road,steel,709.95,59.76,17.7,li-ion,140W,8.1
road,carbon fiber,519.66,76.62,26.69,lead acid,188W,5.91
standard,STEel,306.55,33.95,25.01,li-ion,266W,8.22
folding,steel,525.06,60.5,28.16,li-ion,295W,7.78
folding,steel,430.52,80.19,19.23,li-ion,265W,3.47
road,steel,681.74,58.85,32.01,nimh,273W,8.05
mountain,aluminum,611.21,50.24,26.89,li-ion,228W,7.45
standard,aluminum,289.44,49.02,23.13,lead acid,267W,7.12
standard,carbon fiber,305.05,54.28,34.66,li-ion,316W,9.41
standard,steel,384.89,87.69,34.83,nimh,197W,6.08
standard,carbon fiber,333.87,61.11,31.37,nimh,304W,7.12
road,steel,704.85,63.62,23.52,nimh,224W,7.39
road,carbon fiber,662.23,71.35,20.96,lead acid,216W,6.98
mountain,steel,374.09,73.68,28.35,nimh,260W,4.5
standard,carbon fiber,260.03,54.84,19.9,li-ion,212W,3.85
folding,aluminum,464.13,52.04,26.97,lead acid,226W,5.1
standard,steel,212.91,54.95,19.07,li-ion,273W,2.04
mountain,steel,751.98,44.56,21.01,lead acid,253W,9.11
folding,carbon fiber,444.02,49.39,26.65,nimh,210W,6.64
standard,steel,689.54,71.66,19.26,li-ion,272W,7.02
standard,carbon fiber,579.69,58.59,25.84,li-ion,238W,5.92
road,steel,441.32,38.8,18.05,li-ion,247W,4.5
standard,carbon fiber,430.82,79.07,23.54,-,218W,6.05
road,carbon fiber,273.84,54.07,26.81,lead acid,224W,7.46
road,carbon fiber,396.9,58.24,23.82,lead acid,279W,4.17
standard,steel,421.21,61.03,18.52,lead acid,278W,7.67
folding,carbon fiber,489.04,54.89,23.82,nimh,314W,4.45
mountain,carbon fiber,650.53,28.0,35.56,lead acid,278W,7.92
folding,steel,483.64,68.05,24.03,lead acid,216W,6.02
mountain,aluminum,731.87,63.39,22.36,nimh,168W,5.54
road,carbon fiber,367.78,49.21,17.93,-,213W,5.4
standard,aluminum,305.95,40.03,28.54,nimh,323W,4.68
road,aluminum,528.06,55.1,25.05,lead acid,230W,7.35
standard,steel,640.92,47.94,20.55,lead acid,213W,10.26
road,carbon fiber,580.59,71.22,23.53,lead acid,332W,4.21
road,carbon fiber,645.72,70.74,23.88,lead acid,133W,6.63
standard,carbon fiber,730.97,37.14,26.37,nimh,280W,9.5
mountain,carbon fiber,519.96,50.43,16.07,lead acid,256W,10.47
mountain,aluminum,456.93,62.05,21.19,li-ion,286W,8.04
mountain,steel,688.04,58.63,29.48,li-ion,245W,5.16
mountain,aluminum,473.74,54.19,30.52,nimh,253W,7.36
mountain,aluminum,707.25,72.21,29.86,li-ion,198W,5.8
standard,steel,570.99,27.67,23.69,nimh,250W,9.27
folding,carbon fiber,342.87,66.97,36.97,-,285W,4.79
road,steel,492.65,67.71,22.88,nimh,242W,6.56
standard,carbon fiber,664.33,50.27,26.6,nimh,270W,7.13
road,steel,781.69,79.75,31.42,nimh,263W,8.97
folding,steel,202.1,62.8,16.83,-,233W,5.59
standard,steel,622.61,53.36,32.55,-,300W,4.54
standard,steel,453.03,56.4,21.18,li-ion,242W,5.82
standard,carbon fiber,455.43,54.83,26.5,-,280W,7.59
road,steel,460.23,54.82,23.48,lead acid,169W,7.83
folding,aluminum,563.18,71.8,25.58,lead acid,224W,7.7
road,steel,314.06,46.11,24.23,li-ion,227W,5.75
folding,aluminum,378.29,36.32,18.65,lead acid,358W,6.11
mountain,steel,245.32,59.64,29.09,li-ion,257W,6.6
standard,carbon fiber,339.57,66.16,31.54,nimh,284W,5.8
mountain,steel,381.29,61.61,25.08,li-ion,257W,5.69
standard,aluminum,636.42,77.04,26.86,nimh,209W,2.69
road,carbon fiber,303.25,46.02,15.46,li-ion,322W,4.87
road,aluminum,366.58,56.82,26.77,nimh,288W,4.39
folding,aluminum,486.04,69.66,21.82,lead acid,301W,5.91
standard,steel,654.43,91.38,16.69,nimh,273W,7.91
mountain,aluminum,576.39,34.84,22.15,li-ion,275W,5.31
road,aluminum,621.11,42.13,23.83,lead acid,189W,9.08
standard,steel,377.69,70.27,26.24,lead acid,212W,8.44
road,carbon fiber,397.8,59.48,25.9,li-ion,270W,7.35
standard,steel,449.42,49.29,13.9,-,324W,9.58
folding,aluminum,503.45,85.25,36.21,lead acid,268W,5.4
mountain,carbon fiber,710.26,59.16,16.46,lead acid,172W,6.81
standard,steel,289.14,88.51,33.84,lead acid,259W,4.54
standard,carbon fiber,371.69,48.77,24.6,lead acid,273W,5.9
mountain,steel,499.55,75.55,22.85,lead acid,238W,6.17
folding,steel,784.99,66.13,26.22,li-ion,244W,7.2
standard,steel,249.52,35.3,28.36,li-ion,247W,5.95
standard,steel,508.85,75.49,30.22,nimh,227W,8.56
standard,steel,749.87,46.91,19.87,li-ion,301W,6.88
standard,carbon fiber,337.47,77.78,32.28,li-ion,275W,4.76
mountain,aluminum,274.74,49.0,30.52,li-ion,233W,4.74
mountain,steel,460.53,67.6,22.14,li-ion,220W,5.59
folding,carbon fiber,393.9,40.99,24.06,nimh,188W,7.87
standard,carbon fiber,461.13,39.23,29.23,li-ion,282W,4.36
road,aluminum,338.37,74.38,29.33,nimh,347W,6.42
road,aluminum,233.32,64.59,28.22,lead acid,307W,7.21
folding,carbon fiber,239.02,71.67,20.92,li-ion,251W,7.61
folding,steel,781.39,62.78,12.42,nimh,306W,9.25
road,aluminum,690.75,60.14,29.52,li-ion,155W,6.49
standard,steel,418.51,47.25,28.27,li-ion,220W,6.57
road,aluminum,687.44,76.28,24.33,li-ion,238W,5.91
mountain,aluminum,567.68,59.46,23.0,li-ion,291W,6.72
mountain,aluminum,763.98,49.97,19.94,li-ion,241W,5.52
mountain,steel,519.36,52.06,23.61,-,323W,7.47
road,steel,742.97,64.86,31.16,lead acid,250W,6.28
standard,steel,591.7,72.35,26.37,nimh,234W,6.4
folding,steel,401.7,68.57,22.35,lead acid,264W,6.45
standard,steel,652.03,80.22,20.74,nimh,243W,7.88
folding,carbon fiber,457.83,62.79,26.48,lead acid,286W,5.78
standard,aluminum,212.01,42.19,24.32,li-ion,343W,5.6
road,steel,470.14,54.63,34.79,li-ion,255W,7.29
road,carbon fiber,622.31,64.98,27.13,nimh,321W,7.22
road,carbon fiber,272.04,50.71,23.73,li-ion,341W,8.2
folding,aluminum,782.59,87.69,30.45,nimh,272W,10.34
mountain,steel,386.09,90.32,25.57,-,233W,4.94
road,steel,218.31,68.72,17.91,-,162W,4.45
folding,carbon fiber,295.15,66.02,30.2,li-ion,230W,4.23
mountain,steel,771.49,26.89,18.73,lead acid,175W,11.55
standard,carbon fiber,207.2,85.45,20.3,li-ion,181W,7.01
road,steel,706.35,66.75,23.97,lead acid,293W,7.46
mountain,aluminum,687.74,65.21,20.57,lead acid,258W,3.57
standard,carbon fiber,496.85,79.2,17.06,nimh,252W,7.3
road,aluminum,575.19,84.34,20.76,nimh,177W,6.62
mountain,aluminum,356.38,48.11,23.81,li-ion,180W,5.65
standard,carbon fiber,441.02,43.5,18.21,li-ion,351W,4.11
standard,carbon fiber,697.35,74.54,24.29,lead acid,293W,7.63
folding,steel,324.86,52.44,23.5,nimh,258W,6.64
folding,carbon fiber,546.07,59.46,22.88,li-ion,273W,5.75
mountain,aluminum,269.93,68.82,33.7,li-ion,285W,2.45
mountain,steel,535.57,53.16,19.84,nimh,280W,8.17
mountain,steel,451.83,43.53,21.38,nimh,227W,6.27
mountain,aluminum,326.36,66.02,25.69,li-ion,292W,4.55
mountain,steel,681.44,77.35,30.61,li-ion,207W,8.34
folding,steel,451.53,79.69,32.9,lead acid,207W,6.56
folding,steel,671.54,95.14,38.91,lead acid,250W,7.59
folding,steel,629.21,75.46,29.12,lead acid,186W,7.49
road,aluminum,385.19,46.11,15.07,lead acid,235W,6.6
road,aluminum,738.77,84.28,28.77,li-ion,137W,6.39
road,aluminum,657.73,71.77,27.03,nimh,230W,8.12
standard,carbon fiber,541.57,60.01,35.14,nimh,307W,4.95
folding,carbon fiber,409.5,57.33,20.36,li-ion,249W,2.89
folding,steel,452.13,53.83,26.1,lead acid,257W,5.78
road,steel,545.47,52.24,17.45,nimh,270W,6.95
folding,aluminum,655.93,60.5,18.5,li-ion,185W,8.18
road,steel,510.36,54.21,23.21,nimh,290W,7.04
road,carbon fiber,648.42,42.28,22.89,nimh,320W,9.79
standard,steel,320.06,64.43,22.03,lead acid,220W,5.97
folding,aluminum,543.67,71.63,31.59,nimh,212W,7.87
folding,STEel,403.5,69.6,20.82,lead acid,180W,4.65
mountain,steel,695.55,59.65,27.96,li-ion,289W,8.9
mountain,carbon fiber,593.2,61.3,21.08,nimh,284W,6.52
standard,steel,513.36,47.86,27.55,lead acid,221W,8.15
road,carbon fiber,329.96,57.49,23.16,lead acid,236W,4.54
folding,aluminum,379.79,75.11,26.38,nimh,255W,4.24
mountain,STEel,368.08,71.93,19.04,nimh,264W,7.01
